Player,MLB_ID,Four Seamer,Changeup,Slider,Sinker,Cutter,Curveball,Sweeper,Split Finger,Slurve,Knuckle Curve,Slow Curve
Sawyer Gipson-Long,687830,38.8%,26.4%,19.0%,9.9%,5.8%,N/A,N/A,N/A,N/A,N/A,N/A
Wade Miley,489119,13.8%,26.7%,0.9%,12.1%,45.7%,0.9%,N/A,N/A,N/A,N/A,N/A
Zack Wheeler,554430,41.5%,N/A,N/A,15.5%,9.5%,9.5%,13.7%,10.3%,N/A,N/A,N/A
Jose Berrios,621244,20.0%,16.3%,N/A,31.1%,6.1%,N/A,N/A,N/A,26.5%,N/A,N/A
Austin Gomber,596295,40.4%,20.5%,16.7%,0.0%,N/A,N/A,N/A,N/A,N/A,22.4%,N/A
Grant Holmes,656550,36.9%,1.7%,33.3%,0.3%,12.3%,15.4%,N/A,N/A,N/A,N/A,N/A
Brayan Bello,678394,14.2%,16.2%,1.4%,38.5%,2.5%,N/A,27.1%,N/A,N/A,N/A,N/A
Max Fried,608331,42.9%,8.8%,0.5%,18.8%,2.6%,15.0%,11.4%,N/A,N/A,N/A,N/A
Cade Povich,700249,36.7%,12.7%,N/A,12.7%,N/A,21.8%,16.1%,N/A,N/A,N/A,N/A
Yusei Kikuchi,579328,37.0%,13.0%,38.3%,0.9%,N/A,10.3%,0.5%,N/A,N/A,N/A,N/A
Eury Perez,516811,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shane Baz,669358,48.1%,13.1%,7.2%,N/A,N/A,N/A,N/A,N/A,N/A,31.5%,N/A
Griffin Canning,656288,35.5%,24.0%,32.0%,0.7%,2.0%,N/A,N/A,N/A,N/A,5.7%,N/A
Miles Mikolas,571945,28.5%,11.3%,24.8%,15.8%,N/A,16.1%,3.2%,N/A,N/A,N/A,0.2%
Quinn Priester,682990,N/A,2.7%,29.1%,44.9%,15.0%,8.3%,N/A,N/A,N/A,N/A,N/A
Noah Cameron,702070,28.6%,18.7%,18.9%,N/A,17.4%,16.4%,N/A,N/A,N/A,N/A,N/A
Brandon Walter,687888,7.1%,20.6%,N/A,15.3%,32.9%,N/A,24.1%,N/A,N/A,N/A,N/A
Mitch Keller,656605,32.9%,8.1%,15.9%,16.0%,N/A,7.7%,19.4%,N/A,N/A,N/A,N/A
Colin Rea,607067,47.4%,N/A,9.7%,6.4%,10.0%,10.0%,7.8%,8.7%,N/A,N/A,N/A
Kumar Rocker,677958,16.2%,5.4%,32.2%,33.6%,7.7%,4.9%,N/A,N/A,N/A,N/A,N/A
Aaron Civale,650644,14.0%,N/A,5.4%,25.1%,37.0%,13.0%,2.6%,2.8%,N/A,N/A,N/A
Merrill Kelly,518876,24.6%,24.1%,7.6%,13.1%,19.3%,11.3%,N/A,N/A,N/A,N/A,N/A
Nick Pivetta,601713,48.3%,N/A,0.9%,3.3%,7.7%,21.5%,18.3%,N/A,N/A,N/A,N/A
Emerson Hancock,676106,26.3%,22.5%,13.4%,35.6%,N/A,N/A,2.2%,N/A,N/A,N/A,N/A
Luis L Ortiz,682847,29.4%,12.0%,26.8%,18.2%,13.6%,N/A,N/A,N/A,N/A,N/A,N/A
Dustin May,669160,14.5%,N/A,N/A,39.4%,5.1%,N/A,41.0%,N/A,N/A,N/A,N/A
Kyle Harrison,690986,65.2%,9.8%,N/A,N/A,N/A,N/A,N/A,N/A,25.0%,N/A,N/A
