Player,Team,Home/Away
Derrick White,BOS,Home
Josh Hart,NYK,Away
Kristaps Porzingis,BOS,Home
Jrue Holiday,BOS,Home
OG Anunoby,NYK,Away
Jaylen Brown,BOS,Home
Jalen Brunson,NYK,Away
Mikal Bridges,NYK,Away
Karl-Anthony Towns,NYK,Away
Payton Pritchard,BOS,Home
Mitchell Robinson,NYK,Away
Al Horford,BOS,Home
Miles McBride,NYK,Away
Luke Kornet,BOS,Home
Naz Reid,MIN,Home
Draymond Green,GSW,Away
Jonathan Kuminga,GSW,Away
Jaden McDaniels,MIN,Home
Kevon Looney,GSW,Away
Gary Payton II,GSW,Away
Rudy Gobert,MIN,Home
Mike Conley,MIN,Home
Nickeil Alexander-Walker,MIN,Home
Brandin Podziemski,GSW,Away
Trayce Jackson-Davis,GSW,Away
Anthony Edwards,MIN,Home
Julius Randle,MIN,Home
Donte DiVincenzo,MIN,Home
Buddy Hield,GSW,Away
Jimmy Butler,GSW,Away
