Player,Opponent,GP,PPG,RPG,APG,SPG,BPG,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TPG
Aaron Nesmith,Oklahoma-City,8,7.6,2.8,0.8,0.8,0.5,2.9,6.9,1.1,3.6,0.8,1.0,0.9,1.9,1.1
Alex Caruso,Indiana,10,9.5,4.5,2.9,1.3,0.4,3.5,6.1,1.4,3.0,1.1,1.2,1.1,3.4,1.1
Andrew Nembhard,Oklahoma-City,6,15.3,4.8,5.7,0.7,0.2,5.7,12.3,1.7,4.8,2.3,2.7,1.0,3.8,2.0
Ben Sheppard,Oklahoma-City,4,6.8,2.3,1.0,0.8,0.3,2.5,6.5,1.3,4.3,0.5,0.5,0.5,1.8,0.8
Bennedict Mathurin,Oklahoma-City,3,15.3,5.0,1.0,0.0,0.3,4.7,10.3,2.0,4.7,4.0,5.0,1.3,3.7,1.3
Cason Wallace,Indiana,4,7.3,2.0,1.3,1.8,1.0,2.8,6.8,1.3,2.8,0.5,0.5,0.3,1.8,1.5
Chet Holmgren,Indiana,2,15.0,10.5,1.5,0.0,2.5,5.0,14.0,2.0,6.0,3.0,4.0,1.0,9.5,1.0
Isaiah Hartenstein,Indiana,10,7.5,10.0,3.8,0.2,0.6,2.9,5.0,0.1,0.2,1.6,2.1,3.8,6.2,1.1
Isaiah Joe,Indiana,8,10.0,2.8,1.0,1.0,0.1,3.4,7.6,2.4,6.0,0.9,1.0,0.6,2.1,0.3
Jalen Williams,Indiana,4,15.8,4.8,5.8,1.5,0.3,6.3,14.0,0.8,3.8,2.5,2.8,0.5,4.3,1.8
Kenrich Williams,Indiana,10,8.3,5.2,3.0,0.8,0.4,3.4,6.8,1.1,2.5,0.4,0.7,1.6,3.6,1.0
Luguentz Dort,Indiana,7,19.4,6.4,1.4,1.1,0.3,7.0,12.9,2.9,6.3,2.6,3.1,1.6,4.9,0.9
Myles Turner,Oklahoma-City,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Obi Toppin,Oklahoma-City,9,8.1,3.8,1.1,0.3,0.3,3.2,6.3,0.8,2.6,0.9,1.6,1.0,2.8,0.9
Pascal Siakam,Oklahoma-City,10,20.7,9.2,3.8,0.8,0.5,7.7,13.6,1.7,3.1,3.6,4.8,1.8,7.4,2.4
Shai Gilgeous-Alexander,Indiana,10,26.0,5.8,4.5,1.6,0.8,8.8,18.5,1.3,4.4,7.1,8.4,1.0,4.8,2.2
Thomas Bryant,Oklahoma-City,7,7.9,4.3,0.7,0.6,1.0,3.1,6.1,0.7,2.6,0.9,1.0,1.3,3.0,0.4
Tj Mcconnell,Oklahoma-City,10,10.3,3.0,5.7,0.8,0.1,4.8,8.1,0.5,1.0,0.2,0.2,0.5,2.5,2.0
Tyrese Haliburton,Oklahoma-City,8,13.4,4.1,9.9,1.3,0.9,5.3,11.5,2.0,5.3,0.9,1.0,0.9,3.3,2.1
